interpreter scholar;artist
undiscerning dark;eyeless
drabness insipidness;dreariness
ropy hairy;coarse
interference obstruction;conflict
chalon chaw on;shalom
progeny lineage;family
âhated a hand;abated
comedians' co-medians;comedian
colum column;calm
criminology criminally;criminal
eska's esqs;essays
mendum medium;mend
jobyna cabana;jonah
debitage dotage;debited
loverâ livery;lover
wagged quiver;swing
vaccine antibiotic;medicine
commiserations pity;sympathy
subdues crush;suppress
ufa usa;af
flabbergasting dumbfound;nonplus
belhpegor billhook;belly whop
zosch's psychs;psychos
coud cloud;could
rotton rotting;cotton
argghhhh 
unlocatable indictable;ineluctably
haack hacky;hark
prettier beautiful;cute
maron moron;marina
kosar kisser;kiss
tennille tensile;tennies
extracts juice;excerpt
sparkuhl sparkler;spark
meats food;foodstuff
pleasantville's pleasant feelings;pleasant feeling
sewer septic tank;gutter
makin' making;makin's
dwar dwarf;war
bhaiyyaji bear hug;bear-hug
unicycle uncle;icicle
0cheesiness cheeriness;chersonese
encounter' encounters;rencounter
airsick sick;ear stick
precedents criterion;antecedent
bustelo buster;busted
eivor eve;ivory
angelus gong;tocsin
chappie chapped;chap
prehistory excavation;paleontology
upanishad evanished;unshod
youngish young;younger
flouting spurn;repudiate
spookier scary;eerie
schmoe schmoose;schmooze
gastar caste;star
ashton's shutins;addons
gribble fribble;dribble
dixit fixity;dig it
confident self-assured;sure
heifetz hefts;heft
asombrosa ambries;umbras
unsequined unsecured;unstained
emmet emt;emit
emile mile;smile
desaponta disappoint;despot
undersells modify;diminish
poachers peaches;pooches
stay holiday;vacation
desmitificadora 
auroras dawn;eos
beart beard;beaut
majin making;main
benes bones;beanies
5rosemont resent;easement
pseuds pseudo;pests
matthias mythos;myths
oblique leaning;bent
siffredi differed;sired
rages madness;furor
phillipino fillin;fillip
madea mad;mate
rpers rapiers;ripes
battement betterment;abatement
unaccounted un counted;un-counted
aeronautical flying;airy
'cultural culturally;culture
subtility subtlety;subtilize
bringeth brine;bring
schneiders chunders;snides
quartiers quartos;quarterns
jwab swab;cab
uninhabitable dilapidated;run-down
malèna males;male
'bawdy' bawd;bawdry
grammer's framers;grams
wonderment amazement;bewilderment
umber fawn;ginger
chicanery stratagem;machination
shortchanged bamboozle;bilk
viacom vacuum;victim
faron frown;baron
significent magnificent;somnifacient
confuso confess;confessor
anulka annular;annuls
arrestingly are stingy;trustingly
wow's vows;worse
downpours flood;deluge
lourenã§o youre on;loured
togetherness intimacy;closeness
backy backer;bake
baryshnikov brushing off;boycott
atlee atelier;alter
heebie heinie;herniae
babylon's byblows;babbling
havilland's heartlands;neverlands
deleon deletion;tell on
lipman's lpns;lapins
understated minimize;downplay
theworst the worsts;theorist
evian even;avion
prochnov pre aching;pre-aching
secondsthe second-sight;second city
profession's professionals;professional
yvan ban;can
mehbooba mob;booboo
heterarchical 
moistened drench;sprinkle
marcil marl;martial
grossvatertanz 
eithor author;ether
checkpoints choke points;key points
mildread mildewed;maltreat
pesticides pesticide;fungicide
conversed commune;use
rancidly roundly;frenziedly
macbeth's mis births;mis-births
starfighter straiter;starter
abner abbe;anier
wallet purse;pocketbook
awaitress awaits;actress
lisa's loses;liars
topol tool;tipple
'sincerity' sincerely;sincerest
transported carried;transferred
showerman showed in;shower
'helping heaping;helming
islamicist owsleys acid;owsley's acid
ela el;elan
mameha's mammals;mams
spillane spelling;spieling
cottoned grasp;get
vexed annoy;disturb
'naughtiness' haughtiness;nattiness
markwahlberg 
58th h;t
lecherously laboriously;energetically
kael's cals;gals
frogtown frighten;foretoken
speeder fast;jiffy
excessos ex cesses;ex-cesses
camedown come down;calm down
rade rate;ride
gorganus organs;gorgeous
holme helmer;hole
itwas ideas;items
newsom news;newcome
'sublime' sub lime;sub-lime
already's aureates;alerts
hood's hods;hordes
satyen stay in;stay on
kya kayak;keys
'period prod;pried
'um bum;gum
greenleaf crenel;granules
nietsche's nutcases;cuts cheese
cringed cower;quiver
fatalidad fat land;fall dead
idont dint;don't
tarkington taking on;tacking on
secret' secrete;secrets
caddie caddy;kiddie
coste caste;corset
halfdan half done;half-done
it attractiveness;allure
vapoorized vaporizer;vaporizers
provincetown preventing;pre venting
sombras sombrest;sambas
'boss' bossy;boas
nonevent photo opportunity;photo op
deployment distribution;formation
menlo manly;menial
moppets child;toddler
klapish clannish;jalaps
devises come up with;concoct
michaelango challenge;marchland
lyda lad;ld
suman seaman;summon
trupe troupe;drupe
'nell' null;kneel
scholar doctor;professor
replacedby re placed;re-placed
cawdor cad;card
harkonnens hearkenings;hackneys
discuses plate;platter
messengers prophet;go-between
keying kayoing;eying
evs rvs;avs
'moor' m.o.;m. o.
haphazardously hazardously;haphazards
popularize simplify;promote
'cartoonish' cartoonist;cartoon
tirando trend;tirade
thelast the east;the past
neldel elderly;needler
esposas espousal;nuptials
cadence tempo;inflection
madâ mayday;made
endiaferon environ;endeavoring
kelippoth kelp;kelpie
boonies province;woods
irrepressibility irrepressible;buoyant
poulain plan;pooling
'upbeat' up beat;up-beat
neighbours' neighbor;neighborly
geilgud geld;gild
nullifies invalidate;annul
halted bar;suspend
compete contend;play
hi8 hie;hid
abdi abed;abide
leas meadow;territory
baywaych bewitch;byways
'comic' cosmic;conic
prescription remedy;instruction
prosje porose;prise
brogdingnagians 
clearly certainly;plainly
pepoire' peppered;pepper
dimming tarnish;eclipse
spoilersthere sails through;ploughs through
snotty cheeky;cocky
traill trill;trial
simpsons'' some persons;simpleness
conferem confrere;conferree
toplessmy plasm;dolesome
imprison incarcerate;apprehend
hrabosky more bisque;amber
leonhardt's lion hearted;lion-hearted
gauri's gurries;caries
einstuerzende unstained;answers need
hagiographic cacographic;indecipherable
vivants variants;viandes
disputes row;squabble
alexej algaes;alkies
nineties nimieties;nifties
rohinton hunting;reorienting
minuit mint;mount
aide assistant;supporter
doesnot does it;does t
totting juvenile;bairn
terzieff tears off;tees off
todas tads;today
unbelieving agnostic;cynical
alone's allness;a lines
fitz's few zs;firsts
immunised immunizer;immunizers
miniskirts' minsters;meniscus
ibã¡nez urbanize;i bahns
'spriggan' sprig;spring
ltd lad;led
sequin jewel;spangle
cheapens mar;debase
midwestern timewasting;made certain
called labeled;christened
vandamme anadem;vandyke
stringers girder;scaffolding
kennan keen on;keening
'pickpocket pickpocketed;pickpocketing
shirley's hurleys;shires
rotj rota;rote
gruesomeness monstrosity;atrocity
dorkiest doggiest;duckiest
willims vellums;whelms
retrata re treat;re-treat
acquitane acquit;acquittal
machã© macho;mocha
maman mama;mammon
eclipse' eclipsed;ellipse
spinola pianola;spinals
wanderers vagabond;nomad
somers homers;sobers
rhoe hoe;shoe
petroro petrous;petrify
muster roundup;assembly
wincott wink at;ingot
solvency wealth;richness
creator designer;producer
addison's odds ons;additions
'of' off;oft
faison fain;fusion
lleva lava;levi
aliceevans police vans;Black Maria
solicit drum up;require
cullum claim;cull
inserir insure;inferior
summerville summarily;smeller
steenky sternly;stank
ambiciona am big on;ambling
towns city;municipality
wolliaston millstone;ballasting
standardsâ standard;standardize
reconstructions repair;restoration
spinotti supinity;spun out
crypt' crept;slither
hortense shortens;hoidens
falscher falses;falsifier
'mistress' distress;mitres
critizing critiquing;cruising
fim' dim;film
taglines gag lines;tapelines
stalwarts devotee;sympathizer
aurélien airline;aureole
postulated posit;presuppose
aerith's aerials;a truths
unowns unborns;unpins
dénouements tenements;coop
caspar casa;spar
vivant volant;viand
weakling wimp;coward
rakes comb;scour
stassard sassed;stays at
kristoffersen crustacean;shellfish
triumf trim;trump
detail schedule;structure
apps apes;alps
klumps glimpse;clump
737 .25;180
lagosi legs;largess
sods turf;lawn
skate glide;glissade
livlier liver;likelier
waac sac;was
google'd joggled;googlies
boners misstep;oversight
keehne keen;keened
tinkle sound;jangle
5million milling;millions
khrushchev 
loman lawman;layman
tranquilizer sedative;opiate
deer' dear;doer
partenkirchen art in action;put in can
paródia parodic;prod
repressions oppression;suppression
sobrevivendo 
maughan mugging;manga
commentthe commence;comminate
slavs silvas;slave
grandparent's grand parents;grand-parents
verbeke verbose;verb
production's predictions;production
doped stoned;intoxicated
dehumanization de humanizing;de-humanizing
beatrix beat box;bateaux
philosophise philosophize;theorize
nunn ninny;noun
encaixa unix;encases
eastwood lastword;last word
castillian bastilling;coastline
deol dell;deli
carts wagon;truck
locke lock;licker
âautumn a turn;a ten
krajnc krakens;crank
iluz ilk;ill
childthe childish;childing
criedâ credo;creed
ummmph mummify;amfm
neurons neuroses;neurosis
nightmare's nightmare;horror
nolin online;loin
'weekend weekends;weekender
nazi autocrat;tyrant
plympton prompting;plumped
quizzically musically;quickly
hampton hometown;humping
'don't' dont;down to
angled cast;dangle a line
asâ asea;ass
terrestial torrential;trestle
adobe tile;house
wafer cake;cookie
apoplectic immobile;inert
phasors pharos;pharoses
aditya adit;audit
resident dweller;inmate
isobel's isles;disables
graf grad;gray
boneless bingles;boundless
gunter gunner;gutter
rrrrowf farrow;furrow
malaysian's martians;malkins
escalators people mover;moving stairway
classiques classifies;classes
liapis lapse;lapins
sassmouthed smooth out;sass
cody's coeds;cds
tedra redraw;tawdry
rodential prudential;potential
sergo sedge;sedgy
relesed re leased;re-leased
solicitations claim;bid
abbott abort;about
ruby's ribs;rebus
pfeffercorn provoking;pettifogging
wooow wow;wooer
franca franks;finca
ziman man;human
newcomer's newcome;incomers
dencik dornicks;downtick
mistresses sweetheart;paramour
courageously boldly;eagerly
wiselydrops 
mayhave mauve;mayhem
aznavour envoy;snafu
estilísticos 
marsillach's moustaches;mis lays
huitieme high time;high-time
cree creed;creek
makavejev gave cover;make fun of
villains' villainous;villain
biologist environmentalist;conservationist
dsm dim;ism
approporiately appropriate;appropriated
increases development;raise
insistene insistent;insisting
bicke's burkes;buckets
doest move;execute
dreadcentral 
fisticuff blow;bat
aarrrgh arrow;are
cluelessas kielbasas;colorless
unknown's un knowns;un-knowns
litja lit;lotsa
gertie jettier;get
émigré alien;deportee
mitty' matty;mutt
homeric classic;academic
areparticularly 
esu eu;esp
cutdowns sitdowns;get downs
838 .25;180
tauted touted;taunted
â¼anton wanton;abandon
cleared unloaded;empty
speakman's speak mind;specimens
nomura's naturas;moras
principality sector;city
súper supper;spur
vetoed refused;disapproved
diversión division;aversion
calender register;detail
lava's live as;lava
hernand horned;tenant
whyte whet;whit
moonlights effulgence;radiance
cellularis cellular;celluloids
mankiweicz main comics;manual works
causally causal;casual
adkins adonis;addings
ghost' ghoster;ghosts
charlesmanson 
bélica bloc;block
conchie C.O.;nonviolent person
abed unconscious;comatose
henzell hence;densely
interesante' interest;interesting
cogently finally;forcefully
chiu chi;chic
unformulaic informality;informally
totaling amount to;reach
revamps repair;overhaul
fma ma;foam
jags inebriety;glow
prendre rondure;printer
popular fashionable;favored
muy mud;mug
hoover's hooves;hoofers
'action auction;faction
uxia uis;uzi
innovates bring in;organize
ãli alit;ai
rpm pm;ram
amaerican americas;african
danova dna;dance
estes' easts;testes
fueled feed;inflame
kudzu kudos;kids
crosscoe crossbow;crosscut
bogarde's bogarted;borders
slooooow solo;sloe
saiyan satan;sauna
khalfoun california;cloven
cone pyramid;conoid
involve prove;suggest
goldhunt gold;golden day
flatley lately;fleetly
potted lush;stewed
auctioneer's auctioneer;merchant
konkona conjoin;knockon
newly anew;just
teammates colleague;partner
midriffs tummy;belly
kombat wombat;comsat
translation' transaction;translocation
laddishness cloddishness;lushness
terrytoons tryons;territories
smokeout spoke out;smoke
jugnot jaunt;junta
tip edge;cusp
eitel elite;idle
voter resident;citizen
waisting waiting;worsting
famishius famishing;famish
newscaster announcer;commentator
perico pericope;period
avelino's avions;evilness
drastically utterly;awfully
monotonous tedious;repetitious
'lighter lighters;light
positions area;point
nauseating sickening;disgusting
advani advent;avian
deflecting swerve;avert
sixteen' sextet;cisterna
crich crouch;crutch
l'une line;lane
medallist medalists;idealist
dunked douse;soak
ushers leader;conductor
fashioned' fashioner;fashioners
'gilmore glimmery;glimmer
entendres intends;not endures
banzai aggressive;anxious
ozâ a1;oaf
pocus pcs;picas
folds pleat;corrugation
jockhood jackboot;rockhard
aro's aries;arouse
humanist's humanistic;manists
travesía traverse;trivia
fishermen trawler;fisher
belatedly slowly;tardily
rant tirade;rhetoric
goodnight' gotting to;got right
bert's borts;berets
jib blanch;cower
unproductive fruitless;worthless
deirdre de ride;de-ride
spoilingfor spoil for;spoilings
glint gleam;glimmer
deigns stoop;consent
snazzy swank;classy
unsocial disinterested;diffident
shadings decline;veil
filmlovers family lives;full meals
dovr doer;door
hangovers headache;drunkenness
ronnie rhine;runner
waddaya wadded;waddle
samples case;fragment
mossy covered;damp
crimefighting crafting;grafting
eleana lean;ulna
tango' tang;tangy
disgruntle annoy;dissatisfy
'wu w3;eu
gopher gofer;go-between
'market marked;marker
solarized salaried;salaries
coercion persuasion;intimidation
tomei's times;timeous
danielsson tunes on;venial sin
canadiense candies;canines
viii vie;villi
elmann alumna;alumnae
logothetis' locaters;locates
peformances performance;performings
lenya lent;liny
ensor censor;enamor
haranguing accost;declaim
saitn satiny;saint
hosting receive;introduce
cale's coles;claws
whippersnappers lad;fellow
maharajah king;monarch
buster penniless;insolvent
heffernans huffiness;heftiness
questionable ambiguous;problematic
sirtl silt;still
firebombing 
inactiva in active;in-active
hamaari hamer;hammer
brixton breaks on;brickest
scenry senary;scenario
xia via;ciao
bloodlust bloodiest;bloodless
akathe agate;apathy
kesey keys;gees
schleps pull;jerk
kidã´ kod;kids
riann roan;rainy
molinaro millinery;military
landscapes' landscapers;landscaped
rimless rainless;timeless
videoplayer cd player;bit player
prominently certainly;plainly
cbs's cobs;bss
puberty adolescence;juvenility
embalmer funeral director;mortician
volontã¨ violent;voluntary
chucabra cobra;macabre
spinsters virgin;bachelor girl
'noir' n2o;no
posts pole;panel
contributor donor;patron
soused stewed;inebriated
feudal archaic;antique
authorisation theorization;authorizing
consuelo counselor;counsel
systemsâ'night 
bunnie bennie;bunnies
filminstitut 
pergado perked;pervade
mclaughlin's maculations;scholarliness
unkonwns un knowns;un-knowns
wacked waked;wicked
friedmans foredooms;framings
whitish neutral;pale
freebird fireboard;free ride
disadvantages bar;burden
seguindo second;sequin
concieling cancelling;consoling
gayle's gables;galleass
yan yawn;yank
challenger contender;darer
ttv atv;ptv
cornfields confineds;confits
buffalos hog;horse
persisted persevere;go on
pinkus pinkies;pinkoes
armand's amends;remands
brahm's brahmins;brahman
snobbier cheeky;cocky
jour' joy;hour
lenka link;lanky
angelique angelic;angel like
coburn burn;cabin
develope develop;developed
visualising visuals;visualization
skeksis skycaps;speakeasies
'vaselino' viseing;gasoline
mailing addressing;stamping
foreseeing perceive;forecast
rahim rim;ahem
calvins' caveins;clovens
b be;bi
decaprio declare;decry
eldorado bonanza;cash cow
lampoonery banter;burlesque
senselessly foolishly;recklessly
quigon quicken;guidon
rose's' rosies;ruses
fishtar fisher;fish tale
ying dying;eying
enyanesque annoyance;discontent
maecenas mesnes;maleness
7days d-days;ddays
arbiter referee;moderator
dejados deads;dorados
adluthood adulthoods;adult
'talkie' talker;talkies
manipulated employ;shape
stalls hinder;slow
pensa puns;penna
meecy merci;messy
amercan amen;emerging
marcus's macoss;marquis
humpty hump;empty
'technology technologies;terminology
coixet's costs;coaxes
spasm pain;eruption
nekked naked;nicked
hoffa huff;huffy
inexorably viciously;fiercely
terrorism complication;disturbance
intimates affectionate;warm
cames games;camels
fortnight two weeks;half-month
sollace solacer;shoelace
embroider bedeck;knit
executive managerial;ruling
tutu's touts;tutu
wegener keener;wiener
steinauer stein;stunner
junkier poor;dreadful
jaq's jaws;jas
heir's hers;hes
clamps grip;snap
ghost's ghost;hosts
freckle blemish;blotch
accessability accessible;access
propagandic propaganda;hype
house' hose;horse
containing incorporate;accommodate
driscoll dis color;dis-color
rode float;sit
coughed cold;whoop
momwhat's momentous;memo pads
paintball pantile;palatable
doenot dent;dont
analambanan un combining;un-combining
adolph's adults;ardorless
bucharest's breasts;bookrests
righted good;legal
drone's droned;drone
peters ebb;wane
intimidated terrified;afraid
rebar debar;ruber
h50 h's;a 1
jaitley jailer;jitney
abutted border on;adjoin
employments business;service
workhorse's workhorse;warhorses
sympathies empathy;compassion
twiceâi trice;tweak
sacraments liturgy;communion
trillion profusion;gathering
xl sl;bl
233 .25;180
kenney kenned;kennel
roslind riesling;redlined
prague' pirogue;plague
rabb tabby;arb
talbot tablet;tallboys
laptop clone;brain
analyses search;study
scraggly unkempt;scruffy
paging beep;announce
generated' generates;generate
bippity up pity;up-pity
denials rejection;veto
paskowitz pussycats;passage outs
fluffer fluffy;fluffed
authorization endorsement;green light
coalmines calmness;clamminess
nineveh nine;now never
jeb jib;job
ciountrie's centuries;sentries
ripen age;mellow
amalric's empirics;arm legs
cancellation retirement;reversal
subversives Trojan horse;underground
region province;sector
tonally tally;tingly
crudeness ineptitude;ignorance
mow trim;shear
bricusse's braincases;britcheses
disimulan dissimulate;dismal
peacoat peck at;packet
fiction's fiction;fictionist
spryly sprawl;spry
âthe oath;ether
subsonic super sonic;super-sonic
wynn wan;wen
command'n'conquer 
cowa coda;cola
labute lute;abut
fetishists footrests;stool
underestimate belittle;undervalue
disgruntled testy;annoyed
soapies soapest;saps
claudes clauses;clouds
eleanor's llanos;planers
illuminating enlightening;illuminated
stinkers bounder;boor
wrapup confidence;trust
personhood personized;personified
lynx wildcat;cat
anthropomorphising 
bassey basset;base
filmgoing flagging;flogging
stethoscope set ones cap;set one's cap
penicillin wonder drug;amoxicillin
alongisde elongate;longest
suras sros;sores
thutmose the times;the utmost
louie's lousies;lies
proportionate comparable;corresponding
traning trancing;draining
historically hysterically;hysterical
tt0363 d.t.;e.t.
ethelbert at liberty;albeit
magi wizard;sage
babbit's babbit;rabbits
euthenased etherized;thenest
filmfest film;layer
meri merci;mere
drumsticks wedge;bat
framingham 
rich's ruches;rachis
jurrassic classic;cuirassier
'there's three r's;throes
spurlock slick;speck
alleges depose;plead
prior preceding;previous
chador chard;chart
larga lag;larger
corrula coral;copula
forgoes relinquish;quit
spackle speckle;sparkler
splicing graft;braid
commodores commodious;compadres
indicate reveal;point out
aria hymn;descant
eckland england;eclat
soliders solids;soldier
delectably detectably;detectable
railly really;rail
threepwood threw party;threw a party
entrenchments barricade;reinforcement
alternatingly alternatively;alternately
pavorosas psoriasis;pyrosis
chubbiness overweight;fatness
mao mo;map
venteran ventral;entrain
mo' mo;moo
ravindra ran dry;r and r
commitee commuter;commute
manischewitz minced words;minces words
yoshitaka schtick;shortage
equidor equity;equip
ottled mottled;outlet
watery moist;damp
socking belt;ding
tech reform school;reformatory
protocol'' protocols;pact
hazed dim;obscure
drew' draw;drear
sneeringly acerbically;acrimoniously
conducting control;organize
dapper rakish;stylish
petrify set;harden
fishes troll;trawl
tdb tub;tcb
ramazzotti rearmost;rapacity
guntenberg getting big;growing
plan idea;deal
have enjoy;include
crutchley crutch;crotchet
americans' africans;emergings
shadmehr admirer;admire
renji rangi;re nig
weatherbee weather bureau;whether
titular nominal;so-called
chomiak chick;chock
levantar leanto;lanate
gorillas competitor;player
mistry's mistrals;mistrust
jukes duck;shuffle
filmi filmy;filmic
kudso kids;kudo
0deo do;demo
oswald swilled;swirled
zalman mailman;alumna
bachan beaching;bashing
enhales in-hales;enables
byung buying;baying
pineapples bomb;mine
disciplining artistic;beneficial
riots turmoil;disturbance
pujari pare;park
pugs pus;puss
governor's governess;governor
majestys eminence;emperor
mack's macs;macos
valereon whereon;clarion
trilogy' trilogies;tropology
metáfora metaphor;metro
shadlowlands 
kidnappers hijacker;shanghaier
shouldnt shoulded;shouldered
cbssaturday bastard;best day
mistaking omission;misstep
hartley hurtle;heartily
reiser roser;reviser
nicolls colls;nucleus
throttle' 
biryani brain;bran
vicki vc;sickie
disembowels draw;clean
mercial medial;menial
vogue's rogues;bogies
beautician hairdresser;hair stylist
mur murk;mr
voorhas boohoos;has
entertainingly cordially;courteously
cristal gristly;crystals
broadish brutish;brownish
scoring record;add
so8 s';so
stanford's stands;stentors
palestina pleating;palsying
850's 10 4s;10-4s
picher poucher;peacher
zacatecas scatters;arctics
mutated modify;alter
ecranization aggrandization;are in session
crappus crops;crappy
mst mist;most
moroni moronic;maroon
escalate widen;raise
durn urn;darn
gypsy's gypsy;gypsums
lee's l's;leas
funcionam fanciness;font name
dainton dinting;dindin
unsolved baffling;difficult
badger's badgerers;bangers
carolyn carillon;carolling
nft nit;not
lightfoot light out;lightwood
alva ala;silva
cord twine;fiber
signifiers omen;trace
jobber trader;dealer
reubens' reuben;rebels
'birth' berth;bertha
rach's reaches;rhachis
digested incorporate;consume
extrapolated deduce;hypothesize
commoner's commons;commoner
sakal scaly;skill
mahmoodzada amidst;nomadized
nabokov back off;in back of
harmesh harsh;harms
claudde clause;clouded
'harry' hairy;hurry
whatevers everything;all
harville caviller;hardily
belo bell;bolo
hasbeen antiquated;dated
tripod mount;frame
little' litter;tittle
agony torture;torment
miguel's miscels;miles
narrators novelist;writer
sheldrake childlike;children
ovarian overing;ovation
apprécier aperies;appraise
sueli sell;sully
debute debate;debit
hahanizeis harnesses;hypnoses
dozes slumber;catnap
saliere saline;salter
unintensional un intentional;un-intentional
yasuhara 
skin' skein;skiner
ance ace;once
sulks mope;brood
ebulliently opulently;bluntly
czech catch;coach
exploración exploring;explores
foxs fox;fxs
vandiver wander;vandyke
carousels roundabout;whirligig
vida vids;visa
internalizing personalize;embody
deem allow;feel
interest importance;significance
tagalong tags along;take along
cruffler ruffle;cruller
gartered catered;garnered
almohaisen 
skosh sickish;josh
bukater boater;butter
weird's weeds;words
acidy aside;acedia
claudel clouded;ladle
huxtable 
waterman's water main;watermelons
dyes stain;tint
indivisible unified;inseparable
unendurable intolerable;enough
jedi'' judi;jd
cézanne zenana;esne
zebbedy webbed;seabed
posterchild poster;postulate
panelling fabricate;mold
schine shine;such one
overfilled crowded;teeming
maguire' magpie;manure
whittier waiter;wetter
nacional notional;nationally
christening bless;term
activator catalyst;impetus
parveen parvenue;preen
macfayden's markedness;make tense
ili ilk;oil
plasmatics place mats;plasma
oooohhh ohoh;hoo hah
byyyyyyyyeeeee bye;bayer
rrrr rarer;rr
consuelor consular;counsellor
heckerling's hackling;healings
deconstructionism de constructionist;de-constructionist
hemmed beset;border
seagull shoot;take off
ifâ you off year;off-year
contrariados contraries;country roads
'jive' jiver;jivey
trained experienced;skilled
embarrassingly embarrassings;embracing
roseanne risen;rosin
ajooba job;abba
rossellini's retellings;chisellings
rane's rawness;ranis
sniggered chortle;chuckle
sepia fawn;ginger
boorishness ineptitude;ignorance
objectors radical;revolutionary
scans search;browse
enlistment enrollment;levy
'lawrence clearance;latency
creciente recent;prescient
astrologer soothsayer;fortuneteller
whatever's whatever;whoevers
insanidade in sinuated;in-sinuated
ramar roamer;rima
parenthesis footnote;excursus
zeke seek;geek
paterno patron;poteen
poison venom;germ
scriptwriters sacred writs;script
tygres degrees;digress
keyboardist boardest;beardiest
advision advising;had vision
midkiff's mid riffs;mid-riffs
petering ebb;wane
perturbadora put before;put aboard
descendente descendant;descendants
lehch leach;leech
birgette burette;baguette
dvr'ing during;devouring
fiance suitor;paramour
35mm camcorder;Polaroid
tehzeeb dweeb;teaser
afther after;a further
tasha's tasss;tass
terrorismo terrorisms;terrorist
bottome bottomed;by time
strick's strikers;strokes
emanations origin;effusion
tortures persecution;suffering
arnez annex;anew
talbert albeit;talent
fadeout flight;rescue
hillbilles highballs;hill beans
risks prospect;peril
paxton piston;pasting
regular formal;daily
rize rice;rise
bridging traverse;span
familiars crony;adviser
fw few;fs
lisi list;nisi
afterstory artistry;under story
classis classics;classic
'apadi apart;paid
complexions hue;tint
hortyon howdying;heaton
rowlands's roulades;forelands
oslen solon;isoline
almightly alertly;alarmingly
augh aught;laugh
jaridians gradings;ridings
exigente exigence;exigently
degression egression;depression
flakey flaky;flak
read's readies;reeds
â¨grapes airgraphs;agoras
bouts session;tour
complete entire;exhaustive
nuyorican nerve racking;nerve-racking
dalí deli;tali
entusiasmo untruism;un truism
ceach each;beach
grimy dingy;messy
'special' specially;especial
moralidade moral code;moral-code
backstories backstreets;backstops
vanload valid;vanilla
kamar karma;camer
'envy' envoy;envoi
blofeld ball field;bifold
umpire judge;arbitrator
martinis matings;martians
'easy' ease;essay
'watchable switchable;reachable
weeknights weekenders;weakenings
mysteriesofcanada 
jism jam;jus
tivessem diverse;lovesome
neuroses inhibition;breakdown
conceptcons concept;perception
mcewan meowing;swain
ignatius igneous;giants
takia taker;tack
cipher nonentity;zip
words contention;disagreement
dudette dinette;did t
glo glob;glom
patético portico;pyretic
stuff's stuffers;stuff
excites annoy;work up
multitude legion;throng
mellaril merrily;memorial
advised considered;well-considered
election selection;appointment
yoda's od's;todays
kenichi kent hi;kent-hi
loui lour;loci
screwy abnormal;batty
upsideâdownâor upstanding;pasted on
swip swop;sip
desecrates defile;pervert
krabappel graupel;grappler
johnl3d joggled;joined
orfanato ordinate;if not
teenflic tuneful;porn flick
chocula jocular;chuckle
safans' savins;savannas
ã©tait adit;art air
affirmed repeat;confirm
anguish heartache;agony
o'fallon fall in;falling
meng men;mung
mopped wipe;dab
mutir mutt;metier
prospero prosperous;prospered
commonality plebeian;populace
strangled inhibit;smother
hilynur hailing;holing
'bubba burb;bobby
falklands flue cleaners;flocculent
infraction infringement;lapse
arbaaz abase;abbas
doctorates PhD;advanced degree
bussle tussle;busily
room place;area
ehrlich's relishes;arils
huxley hurley;hickeys
exceeded top;eclipse
conseguiu conceit;consign
malheureusement 
steamfest steam;vigor
cuing twine;intertwine
mortgaged insure;protect
lazyboy lays by;lay by
packenham making home;taking home
bachmann` bagman;brahman
'bloody blood;blooder
noose lariat;hitch
perusing scan;browse
unreleasable unreliable;inerasable
plotno piloting;plotting
demented's demented;dements
wilco wile;will
tigress wench;fury
pontevedro point entry;point of entry
defending preserve;contend
spending use;waste
sufferã­ngs sufferance;deduction
chopras chorus;chips
tatumi teatime;totem
drole drool;dole
'next' next to;next up
'christian' christen;christian name
intestinal abdominal;alimentary
proffessor pro fessor;pro-fessor
praslin press in;prattling
minion's minion;pinions
ship transfer;move
rosza rosacea;rosies
haddock hassock;hammock
brittany botany;britannia
heroo here;herer
appleby apply;appler
bielinsky blink;billings
killa killer;koala
hardworker hard workers;hard work
lax sloppy;negligent
laird lessee;heir
tholomyes 
intransigent resolute;inflexible
cern's sens;cents
unearthing exhibit;reveal
pariticular reticular;particle
discontinue quit;suspend
autry outre;arty
natascha putsch;kitschy
hp hep;hip
management executive;administration
metafiction modification;medication
frenziedly murderously;berserk
ditka data;dick
scratching rasping;rough
ritz rite;ditz
carrousel carouse;carouser
'alter altar;falter
durango drank;de range
territorial provincial;national
missis missus;misses
lampidorra lampoonery;lamped
zines zingers;zions
praticamente predicaments;predicant
'middle muddle;meddle
trackings hunt;quest
infant's infant;infantry
elvia levi;elves
lisztomania lobstermen;lose steam
'north forth;worth
batch parcel;bundle
entregándose inter agents;inter-agents
por pour;pro
dogfight riot;scuffle
busted's busted in;busted up
inibriation infuriation;uninebriation
naim's nms;animus
recesses heart;cranny
kensuke keens;genuses
sweetbreads heart;marrow
urge longing;itch
guyland gleaned;gallant
moeurs mouse;mousy
arous' aurous;arose
scapegoat fall guy;fool
bud's bads;bods
loony screwball;wacky
unofficially secretly;privately
inn's in use;ons
kris blade;dagger
30'000'000'000 $.25;10 4
winky wink;wonk
pirouettes whirl;twirl
morman mermen;roman
looksâand look stern;looks at
'criminals' criminal;criminally
narrations tale;anecdote
'poseidon poison;pseudo
bombsight sight;telescopic sight
scape prospect;perspective
mortification abasement;disgrace
bigheartedness altruism;benevolence
oom doom;loom
smokestacks syllogistics;smoke
exterior outdoor;outer
gaby gab;gay
outpace outrun;outdo
dailey's dalliers;daily
kirayi gray;grayer
biarkan barking;bairn
anomalous atypical;unnatural
